artist_name,track_name,album_name,release_date,release_year,is_album_track,explicit,is_feature,popularity,track_id,duration_ms,danceability,energy,valence,tempo,loudness,speechiness,acousticness,instrumentalness,liveness,duration_min
A$AP Rocky,"1Train (feat. Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T.)",LONG.LIVE.A$AP (Deluxe Version),2013-01-01,2013,FALSE,TRUE,TRUE,62,1eLU27PPFxBhbp1CBjPh9J,372173,489,878,775,81.497,-3.36,368,351,0.0,698,6.202.883.333.333.330
Frank Anthony,Live in My Bed (feat. Kendrick Lamar),Live in My Bed (feat. Kendrick Lamar),2013-01-07,2013,FALSE,TRUE,TRUE,2,7Ca6kyvnZrXDJIlYXGxcyJ,296464,583,867,343,128.062,-3.061,451,162,0.0,423,4.941.066.666.666.660
A$AP Rocky,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",LONG.LIVE.A$AP (Deluxe Version),2013-01-11,2013,FALSE,TRUE,TRUE,2,4XoP1AkbOurU9CeZ2rMEz2,233786,869,687,668,96.006,-6.816,263,208,"1,00E-06",114,38.964.333.333.333.300
Ras Kass,"Focus (feat. ProVerb, Latoiya Williams, Kendrick Lamar)",Barmageddon,2013-02-12,2013,FALSE,TRUE,TRUE,7,3ZleMz9RX3gDpINe4A7ojJ,216226,907,641,497,108.503,-7.142,133,135,1.62e-05,624,36.037.666.666.666.600
Dido,Let Us Move On (feat. Kendrick Lamar),Girl Who Got Away (Expanded Edition),2013-03-04,2013,FALSE,FALSE,TRUE,32,6zZ1sPk865qtbageCHRjxZ,250360,597,0.69,227,87.051,-7.276,422,482,749,171,4.172.666.666.666.660
Miguel,How Many Drinks? (feat. Kendrick Lamar),How Many Drinks? (feat. Kendrick Lamar),2013-04-10,2013,FALSE,TRUE,TRUE,47,2dDCkXBbVDI4YR21lrQRK6,270160,425,0.6,0.24,88.767,-7.016,159,33,4.05e-05,127,4.502.666.666.666.660
Kid Cudi,Solo Dolo Part II (feat. Kendrick Lamar),Indicud,2013-04-12,2013,FALSE,TRUE,TRUE,42,6IPZkjmCvqDY3RVCkRxr9r,214440,731,895,293,105.192,-5.526,295,149,2.62e-05,185,3.574
Quadron,Better Off (feat. Kendrick Lamar),Avalanche,2013-05-31,2013,FALSE,FALSE,TRUE,29,2IU9XtrbGviQfWAjg4x9kc,264680,565,432,446,176.157,-11.175,0.11,672,231,837,4.411.333.333.333.330
J. Cole,Forbidden Fruit (feat. Kendrick Lamar),Born Sinner (Deluxe Version),2013-06-18,2013,FALSE,TRUE,TRUE,62,1mvDFqbbmgmMmU6U4dIq5m,268666,0.84,504,406,110.027,-9.354,383,546,131,211,4.477.766.666.666.660
Droop-E,Rossi Wine (feat. Kendrick Lamar),Hungry and Humble,2013-07-16,2013,FALSE,TRUE,TRUE,28,4xhyLoAlssBTXH0cXqUZPI,252700,637,778,632,140.007,-7.16,104,303,0.0,278,4.211.666.666.666.660
Tech N9ne,Fragile (feat. Kendrick Lamar),Something Else,2013-07-30,2013,FALSE,TRUE,TRUE,54,7L3YDa0Fd8pmzpAyu6EKOS,236373,715,468,673,194.902,-7.664,147,994,0.0,125,393.955
Terrace Martin,Triangle Ship (feat. Kendrick Lamar),3ChordFold,2013-08-13,2013,FALSE,FALSE,TRUE,18,1TycxSppuyhz7NVbiOs870,340497,357,0.47,253,171.347,-12.173,383,516,0.0,118,567.495
